Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
GT,619.5,15,15.0,1.0,108*,54.21,393.875,156.17,0,2.5,56,21
MI,619.5,16,16.0,5.0,73*,65.18,393.875,167.91,0,2.5,56,35
RCB,619.5,15,15.0,3.0,73*,54.75,393.875,144.71,0,2.5,56,19
GT,619.5,15,15.0,2.0,93*,50.00,393.875,155.87,0,2.5,56,24
LSG,619.5,13,13.0,0.0,117,48.23,383.0,163.7,0,2.5,56,35
PBKS,604.0,17,17.0,5.0,97*,50.33,345.0,175.07,0,2.5,43,35
RR,559.0,14,14.0,1.0,75,43.00,350.0,159.71,0,2.5,56,28
PBKS,549.0,17,17.0,0.0,91,32.29,342.0,160.52,0,2.5,56,30
DC,539.0,13,13.0,3.0,112*,53.90,360.0,149.72,0,2.5,52,21
GT,538.0,14,13.0,4.0,97*,59.78,330.0,163.03,0,2.5,52,24
LSG,524.0,14,14.0,2.0,87*,43.67,267.0,196.25,0,2.5,45,35
SRH,487.0,13,13.0,2.0,105*,44.27,282.0,172.69,0,1.0,42,25
PBKS,475.0,17,17.0,0.0,103,27.94,265.0,179.24,0,2.0,55,25
LSG,445.0,13,13.0,0.0,66,34.23,299.0,148.82,0,2.5,38,22
SRH,439.0,14,13.0,0.0,141,33.77,227.0,193.39,0,2.0,46,28
MI,418.0,15,15.0,1.0,81,29.86,280.0,149.28,0,2.5,41,22
RCB,403.0,13,13.0,1.0,65,33.58,229.0,175.98,0,2.5,48,22
RR,393.0,14,14.0,2.0,95,32.75,236.0,166.52,0,1.0,27,27
KKR,390.0,13,12.0,1.0,61,35.45,264.0,147.72,0,2.5,36,20
MI,388.0,14,14.0,1.0,62*,29.85,257.0,150.97,0,2.5,47,17
SRH,374.0,13,12.0,0.0,76,31.17,230.0,162.6,0,2.5,50,15
PBKS,369.0,16,15.0,3.0,70,30.75,253.0,145.84,0,2.0,28,21
CSK,357.0,14,14.0,3.0,50,32.45,270.0,132.22,0,1.0,22,21
SRH,354.0,14,13.0,3.0,106*,35.40,232.0,152.58,0,1.0,33,15
PBKS,350.0,17,14.0,7.0,61*,50.00,228.0,153.5,0,2.5,23,18
MI,343.0,16,13.0,2.0,59,31.18,248.0,138.3,0,2.0,23,16
RR,333.0,14,13.0,4.0,70,37.00,213.0,156.33,0,2.0,22,22
LSG,329.0,14,11.0,1.0,74,32.90,222.0,148.19,0,2.0,27,14
RCB,312.0,15,14.0,1.0,64,24.00,217.0,143.77,0,2.0,25,14
DC,301.0,13,13.0,1.0,51,25.08,205.0,146.82,0,1.0,28,12
CSK,301.0,14,14.0,5.0,77*,33.44,222.0,135.58,0,2.0,25,10
DC,300.0,14,13.0,7.0,41*,50.00,199.0,150.75,0,0.0,25,11
KKR,300.0,12,11.0,2.0,50,33.33,215.0,139.53,0,1.0,30,8
GT,291.0,13,11.0,2.0,46,32.33,185.0,157.29,0,0.0,22,18
RR,285.0,9,9.0,1.0,66,35.63,203.0,140.39,0,1.0,27,13
PBKS,278.0,11,11.0,2.0,73,30.89,171.0,162.57,0,1.0,26,16
LSG,269.0,14,13.0,2.0,118*,24.45,202.0,133.16,0,1.0,23,16
DC,263.0,12,11.0,1.0,43,26.30,167.0,157.48,0,0.0,23,15
RCB,261.0,15,11.0,4.0,85*,37.29,148.0,176.35,0,1.0,24,17
RR,252.0,7,7.0,0.0,101,36.00,122.0,206.55,0,1.0,18,24
MI,252.0,16,12.0,4.0,46,31.50,138.0,182.6,0,0.0,24,13
RCB,247.0,10,10.0,1.0,61,27.44,164.0,150.6,0,2.0,21,14
KKR,246.0,12,12.0,1.0,44,22.36,144.0,170.83,0,0.0,25,19
CSK,240.0,7,7.0,0.0,94,34.29,127.0,188.97,0,1.0,31,11
RR,239.0,14,13.0,2.0,52,21.73,164.0,145.73,0,1.0,17,11
SRH,236.0,14,12.0,3.0,74,26.22,142.0,166.19,0,1.0,12,20
MI,233.0,13,11.0,1.0,53,23.30,172.0,135.46,0,1.0,22,11
CSK,225.0,6,6.0,0.0,57,37.50,125.0,180.0,0,2.0,13,17
MI,224.0,15,12.0,3.0,48*,24.89,137.0,163.5,0,0.0,18,12
RR,217.0,11,11.0,1.0,81,21.70,134.0,161.94,0,2.0,27,9
